rank,company,founded,employees,score,ceo,state,hq,industry
166,Ernst & Young (EY),1989,>1000,73.78,Janet Truncale,United Kingdom,London,Professional Services
167,ABB,1883,>1000,73.72,Björn Rosengren,Switzerland,Zürich,"Engineering, Manufacturing"
168,Prudential,1848,>1000,73.7,Anil Wadhwani,United Kingdom,London,Insurance
169,Suzuki Motor,1909,>1000,73.64,Toshihiro Suzuki,Japan,Shizuoka,Automotive (Automotive and Suppliers)
170,Foundever,1985,>1000,73.62,Laurent Uberti,United States,Omaha,Business Services & Supplies
171,Hazama Ando,2013,>1000,73.46,Takeshi Komatsu,Japan,Tokyo,"Construction, Oil & Gas Operations, Mining and Chemicals"
172,QBE Insurance,1886,>1000,73.44,Andrew Horton,Australia,Sydney,Insurance
173,GlaxoSmithKline (GSK),2000,>1000,73.41,Emma Walmsley,United Kingdom,Brentford,Drugs & Biotechnology
174,EEI,1931,>1000,73.36,Henry D. Antonio,Philippines,Manila,"Construction, Oil & Gas Operations, Mining and Chemicals"
175,Recruit,1960,>1000,73.32,Hisayuki Idekoba,United States,New York,Media & Advertising
176,AAC Technologies,1993,>1000,73.32,Pan Benjamin Zhengmin,Hong Kong,Hong Kong,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
177,Sutherland,1986,>1000,73.31,Dilip R. Vellodi,United States,New York,"IT, Internet, Software & Services"
178,Olympus,1968,>1000,73.3,Yasuo Takeuchi,Japan,Tokyo,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
179,DXC Technology,2017,>1000,73.19,Mike Salvino,United States,Tysons,"IT, Internet, Software & Services"
180,BNP Paribas,1848,>1000,73.19,Jean-Laurent Bonnafé,France,Paris,Banking and Financial Services
181,Takashimaya,1831,>1000,73.14,Yoshio Murata,Japan,Tokyo,Retail and Wholesale
182,Wistron,2001,>1000,73.12,Jeff Lin,Taiwan,Taipei,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
183,Adidas,1949,>1000,73.05,Bjørn Gulden,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
184,Amadeus IT,1987,>1000,72.96,Luis Maroto,Spain,Madrid,"IT, Internet, Software & Services"
185,HDFC Bank,1994,>1000,72.94,Sashidhar Jagdishan​​​​​​​,India,Mumbai,Banking and Financial Services
186,Linfox,1956,>1000,72.93,Mark Mazurek,Australia,Melbourne,Transportation and Logistics
187,Nintendo,1889,>1000,72.87,Shuntaro Furukawa,Japan,Kyoto,Media & Advertising
188,Sanofi,2004,>1000,72.86,Paul Hudson,France,Paris,Drugs & Biotechnology
189,Mazda Motor,1920,>1000,72.67,Masahiro Moro,Japan,Hiroshima,Automotive (Automotive and Suppliers)
190,Groupe SEB,1857,>1000,72.61,Thierry de la tour d'artaise,France,Ecully,Packaged Goods
191,Westpac Banking,1982,>1000,72.59,Anthony Miller,Australia,Sydney,Banking and Financial Services
192,ASUS,1989,>1000,72.57,S.Y. Hsu Samson Hu,Taiwan,Taipei,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
193,Kubota,1890,>1000,72.56,Yuichi Kitao,Japan,Osaka,"Engineering, Manufacturing"
194,Delta Air Lines,1925,>1000,72.47,Ed Bastian,United States,Atlanta,Transportation and Logistics
195,Pricewaterhousecoopers (PwC),1998,>1000,72.4,Bob Moritz,United Kingdom,London,Business Services & Supplies
196,Chiba Bank,1943,>1000,72.34,Tsutomu Yonemoto,Japan,Tokyo,Banking and Financial Services
197,HP,1939,>1000,72.34,Enrique Lores,United States,Palo Alto,"IT, Internet, Software & Services"
198,Sephora,1970,>1000,72.32,Jean-André Rougeot,France,San Francisco,Retail and Wholesale
199,Transcom,1995,>1000,72.31,Jonas Dahlberg,Sweden,Rostock,Professional Services
200,Daiichi Sankyo,2005,>1000,72.29,Sunao Manabe,Japan,Tokyo,Drugs & Biotechnology
201,State Bank of India,1955,>1000,72.28,Shri Dinesh Kumar Khara,India,Mumbai,Banking and Financial Services
202,Telstra,1992,>1000,72.03,Vicki Brady,Australia,Melbourne,"Telecommunications Services, Cable Supplier"
203,Kajima,1840,>1000,71.91,Hiromasa Amano,Japan,Tokyo,"Construction, Oil & Gas Operations, Mining and Chemicals"
204,Uber,2009,>1000,71.9,Dara Khosrowshahi,United States,San Francisco,Transportation and Logistics
205,Exxon Mobil,1999,>1000,71.88,Darren W. Woods,United States,Irving,"Construction, Oil & Gas Operations, Mining and Chemicals"
206,GS Group,2005,>1000,71.8,Huh Yoon-hong,South Korea,Seoul,"Engineering, Manufacturing"
207,S&P Global,1860,>1000,71.78,Douglas L. Peterson,United States,New York,Banking and Financial Services
208,Interpublic Group (IPG),1930,>1000,71.52,Philippe Krakowsky,United States,New York,Media & Advertising
209,Bayer,1863,>1000,71.52,Bill Anderson,Germany,Leverkusen,"Construction, Oil & Gas Operations, Mining and Chemicals"
210,Bank of Japan,1882,>1000,71.51,Ueda Kazuo,Japan,Tokyo,Banking and Financial Services
211,foodpanda,2012,>1000,71.4,John Fang,Singapore,Singapore,Transportation and Logistics
212,Marubeni,1858,>1000,71.4,Masumi Kakinoki,Japan,Tokyo,Conglomerate
213,CIMB Bank,1924,>1000,71.35,Novan Amirudin,Malaysia,Kuala Lumpur,Banking and Financial Services
214,Metropolitan Bank & Trust Company (Metrobank),1962,>1000,71.32,Fabian S. Dee,Philippines,Manila,Banking and Financial Services
215,Nike,1964,>1000,71.16,John Donahoe,United States,Beaverton,"Clothing, Shoes, Sports Equipment"
216,Takenaka,1899,>1000,71.15,Masato Sasaki,Japan,Osaka,"Engineering, Manufacturing"
217,Agilent Technologies,1999,>1000,71.14,Mike McMullen,United States,Santa Clara,Health Care Equipment & Services
218,Advanced Micro Devices (AMD),1969,>1000,71.14,Lisa Su,United States,Santa Clara,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
219,AIG Shared Services,1919,>1000,71.12,Peter Zaffino,United States,Manila,Banking and Financial Services
220,Ocean Network Express,2017,>1000,71.08,Jeremy Nixon,Japan,Tokyo,"IT, Internet, Software & Services"
221,Infineon,1999,>1000,70.95,Jochen Hanebeck,Germany,Neubiberg,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
222,ASE,1984,>1000,70.95,Dave Johnson,Taiwan,Taipei,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
