rank,company,founded,employees,score,ceo,state,hq,industry
171,Mirbud,1988,"501 - 1,000",68.44,Jerzy Mirgos,Łódź,Skierniewice,Construction
172,Jastrzębska Spółka Węglowa,1993,"10,001 - 50,000",68.41,Tomasz Cudny,Silesia,Jastrzębie-Zdrój,Oil and Gas
173,SAS Institute,1992,201 - 500,68.36,Michał Pieprzny,Mazovia,Warszawa,"IT, Internet, Software"
174,Sopra Steria,2007,"501 - 1,000",68.35,Vincent Paris,Silesia,Katowice,"IT, Internet, Software"
175,UBS,1998,"1,001 - 5,000",68.33,Michał Stepień,Lesser Poland,Kraków,Banks and Financial Services
176,Ferrero,1992,"1,001 - 5,000",68.17,Enrico Bottero,Mazovia,Warszawa,FMCG
177,Brembo,2006,"1,001 - 5,000",68.16,Daniele Schillaci,Silesia,Dąbrowa Górnicza,Vehicle Construction and Sales
178,Danone,1919,"1,001 - 5,000",68.05,Paweł Piątek,Mazovia,Warszawa,FMCG
179,Betard,1989,"501 - 1,000",68.02,Artur Dziechciński,Lower Silesia,Długołęka,Production and Processing of Raw and Building Materials
180,Grupa Polsat Plus,1992,"5,001 - 10,000",68.00,Mirosław Błaszczyk,Mazovia,Warszawa,Telecommunication
181,Avis,1991,>250,67.89,Keith Rankin,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
182,Aflofarm,1989,"501 - 1,000",67.87,Jacek Furman,Łódź,Pabianice,Pharmaceuticals and Biotechnology
183,Farmacol,1990,"1,001 - 5,000",67.76,Tomasz Rogóż,Silesia,Katowice,Pharmaceuticals and Biotechnology
184,Uzdrowisko Busko-Zdrój,1836,"501 - 1,000",67.75,Michał Płatek,Holy Cross,Busko-Zdrój,Healthcare and Social
185,SMYK,2000,>250,67.75,Michał Grom,Mazovia,Warszawa,Retail
186,McDonald's,1948,"10,001 - 50,000",67.74,Adam Pieńkowski,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
187,Bruk-Bet,1984,"1,001 - 5,000",67.72,Krzysztof Witkowski,Lesser Poland,Żabno,Construction
188,Euro Finannce,2004,>250,67.69,Dawid Kalinowski,Greater Poland,Piła,Transportation and Logistics
189,enel-med,1993,"1,001 - 5,000",67.68,Jacek Jakub Rozwadowski,Mazovia,Warszawa,Healthcare and Social
190,Mars,1992,"1,001 - 5,000",67.60,Grant F. Reid,Mazovia,Sochaczew,FMCG
191,BSH Group,1993,>250,67.54,Konrad Pokutycki,Mazovia,Warszawa,Durable Consumer Goods
192,POLREGIO,2001,>250,67.52,Artur Martyniuk,Mazovia,Warszawa,Transportation and Logistics
193,Alfa Elektro,1989,201 - 500,67.52,Wiesław Romańczuk,Silesia,Katowice,Wholesale
194,Orange,1991,"10,001 - 50,000",67.48,Julien Ducarroz,Mazovia,Warszawa,Telecommunication
195,Uniwersytet w Białymstoku,1997,"1,001 - 5,000",67.45,Robert W. Ciborowski,Podlaskie,Białystok,Education and Research
196,Concentrix,2005,"501 - 1,000",67.33,Christopher Caldwell,West Pomerania,Szczecin,Business Services
