rank,company,founded,employees,score,ceo,state,hq,industry
53,Merck Sharp & Dohme (MSD),1891,>200,7.79,Robert M. Davis,Singapore,Singapore,Drugs & Biotechnology
54,"Agency for Science, Technology and Research (A*STAR)",2000,>200,7.79,Frederick Chew,Singapore,Singapore,Education
55,Toyota Motor,1938,"1,001 - 5,000",7.78,Mitsuhiro Tsubakimoto,Singapore,Singapore,Automotive (Automotive and Suppliers)
56,HSBC,1864,>200,7.78,Noel Quinn,Singapore,Singapore,Banking and Financial Services
57,Neo Group,1992,>200,7.78,Neo Kah Kiat,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
58,Amgen,1980,>200,7.78,Robert A. Bradway,Singapore,Singapore,Drugs & Biotechnology
59,Adeka (Singapore),1988,>200,7.76,Hirota Kiyonobu,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
60,Singapore Power Group,2003,>200,7.76,Stanley Huang Tian Guan,Singapore,Singapore,Utilities
61,Kingsmen Creatives,1976,>200,7.75,Andrew Cheng,Singapore,Singapore,Media & Advertising
62,Unilever,1971,>200,7.75,Alan Jope,Singapore,Singapore,Packaged Goods
63,Siemens,1908,>200,7.74,Armin Bruck,Singapore,Singapore,"Engineering, Manufacturing"
64,National University Health System (NUHS),2008,>200,7.74,Yeoh Khay Guan,Singapore,Singapore,Healthcare & Social
65,Novartis,1996,>200,7.73,"Vasant (Vas) Narasimhan, M.D.",Singapore,Singapore,Drugs & Biotechnology
66,Pfizer,1849,"501 - 1,000",7.72,Albert Bourla,Singapore,Singapore,Drugs & Biotechnology
67,Total Oil Asia-Pacific,1982,"1,001 - 5,000",7.71,Ting Wee Liang,Singapore,Singapore,"Oil & Gas Operations, Mining and Chemicals"
68,Mitsui & Co (Asia Pacific),2007,>200,7.70,Kenichi Hori,Singapore,Singapore,Banking and Financial Services
69,Shanghai Tunnel Engineering Co (Singapore),1993,>200,7.70,Zhang Yan,Singapore,Singapore,Construction
70,Jones Lang LaSalle (JLL),1999,>200,7.70,Radha Dhir,Singapore,Singapore,Real Estate
71,Ministry of Finance (MOF),1959,>200,7.68,Lawrence Wong,Singapore,Singapore,Government Services
72,KTC Group,1988,>200,7.68,Chan Hiang Kiat,Singapore,Singapore,Construction
