rank,company,founded,employees,score,ceo,state,hq,industry
239,Ontario Teachers' Pension Plan,1990,"1,001 - 5,000",8.08,Jo Taylor,Ontario,Toronto,Banking and Financial Services
240,CBC/Radio-Canada,1932,"5,001 - 10,000",8.08,Catherine Tait,Ontario,Ottawa,Media & Advertising
241,A&W,1956,"10,001 - 50,000",8.08,Kevin Bazner,British Columbia,North Vancouver,Restaurants
242,Cambridge Memorial Hospital,1888,"1,001 - 5,000",8.08,Patrick Gaskin,Ontario,Cambridge,Healthcare & Social
243,St. Mary's General Hospital,1924,"1,001 - 5,000",8.08,Lee Fairclough,Ontario,Kitchener,Healthcare & Social
244,DHL,1969,"1,001 - 5,000",8.08,Frank Appel,Ontario,Brampton,Transportation and Logistics
245,Sysco,1969,"5,001 - 10,000",8.08,Kevin Hourican,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
246,BMO Financial Group,1817,"10,001 - 50,000",8.07,Darryl White,Quebec,Montreal,Banking and Financial Services
247,Dana,1904,"10,001 - 50,000",8.07,James K. Kamsickas,Ontario,Cambridge,Automotive (Automotive and Suppliers)
248,Manulife Financial,1887,"10,001 - 50,000",8.07,Roy Gori,Ontario,Toronto,Insurances
249,General Electric (GE),1892,"1,001 - 5,000",8.06,H. Lawrence Culp Jr.,Ontario,Mississauga,"Engineering, Manufacturing"
250,Jazz Aviation,2002,"1,001 - 5,000",8.06,Randolph Degooyer,Nova Scotia,Dartmouth,Transportation and Logistics
251,HSBC,1981,"5,001 - 10,000",8.06,Linda Seymour,British Columbia,Vancouver,Banking and Financial Services
252,Moxie's Grill & Bar,1986,"5,001 - 10,000",8.05,Joanne Forrester,Alberta,Calgary,Restaurants
253,Nutrien,2017,"5,001 - 10,000",8.05,Chuck Magro,Saskatchewan,Saskatoon,"Construction, Oil & Gas Operations, Mining and Chemicals"
254,Accenture,1989,"5,001 - 10,000",8.05,Jimmy Etheredge,Alberta,Calgary,"Professional Services (e.g. Consulting, Accounting)"
255,The Kraft Heinz Company,2015,"1,001 - 5,000",8.04,Miguel Patricio,Illinois,Chicago,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
256,Agropur,1938,"5,001 - 10,000",8.04,Émile Cordeau,Quebec,Saint-Hubert,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
257,Alberta Health Services,2009,"100,001 - 500,000",8.04,Dr. Verna Yiu,Alberta,Edmonton,Healthcare & Social
258,Sanofi,2004,"1,001 - 5,000",8.04,Paul Hudson,Quebec,Laval,Drugs & Biotechnology
259,Liquor Distribution Board of Ontario (LCBO),1927,"5,001 - 10,000",8.04,George Soleas,Ontario,Toronto,Retail and Wholesale
260,Cineplex Entertainment,1912,"10,001 - 50,000",8.04,Ellis Jacob,Ontario,Toronto,Travel & Leisure
261,H&R Block,1955,"50,001 - 100,000",8.02,Jeff Jones,Alberta,Calgary,Business Services & Supplies
262,Toronto Transit Commission,1921,"10,001 - 50,000",8.01,Rick Leary,Ontario,Toronto,Transportation and Logistics
263,Teck Resources,1906,"5,001 - 10,000",8.00,Donald R. Lindsay,British Columbia,Vancouver,"Construction, Oil & Gas Operations, Mining and Chemicals"
264,Fiat Chrysler Automobiles (FCA),1899,"100,001 - 500,000",7.99,Michael Manley,Ontario,Windsor,Automotive (Automotive and Suppliers)
265,Business Development Bank of Canada (BDC),1944,"1,001 - 5,000",7.99,Michael Denham,Quebec,Montreal,Banking and Financial Services
266,CIBC,1961,"10,001 - 50,000",7.99,Victor G. Dodig,Ontario,Toronto,Banking and Financial Services
267,Allianz,1890,"100,001 - 500,000",7.99,Oliver Bäte,Ontario,Cambridge,Insurances
268,Canadian Tire,1922,"10,001 - 50,000",7.98,Greg Hicks,Ontario,Toronto,Retail and Wholesale
269,Longo Brothers Fruit Markets,1956,"5,001 - 10,000",7.98,Anthony Longo,Ontario,Vaughan,Retail and Wholesale
270,Saputo,1954,"10,001 - 50,000",7.98,Lino A. Saputo,Quebec,Montreal,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
271,Rio Tinto,1873,"10,001 - 50,000",7.98,Jean-Sébastien Jacques,Quebec,Montreal,"Construction, Oil & Gas Operations, Mining and Chemicals"
272,Wendy’s,1969,"10,001 - 50,000",7.98,Todd A. Penegor,Ontario,Oakville,Restaurants
273,IA Financial Corporation,1892,"5,001 - 10,000",7.97,Denis Ricard,Quebec,Québec,Insurances
