rank,company,founded,employees,score,ceo,state,hq,industry
176,Analog Devices,2010,>250,8.21,Vincent Roche,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
177,Businesspeople,1998,>250,8.21,Gary Praznik,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Retail and Wholesale
178,iQor,1953,>250,8.21,Carlo Katigbak,California,"Burlingam, CA, USA",Business Services & Supplies
179,Lazada E-Services,2012,>250,8.20,Carlos Otermin Barrera,Metropolitan Manila,"Metropolitan Manila, Taguig City",Retail and Wholesale
180,Pascual Laboratories,1946,>250,8.20,Jose Augusto Pascual,Metropolitan Manila,"Metropolitan Manila, Quezon City",Drugs & Biotechnology
181,Converge Information and Communication Technology Solutions,2007,>250,8.20,Dennis Anthony H. Uy,Metropolitan Manila,"Metropolitan Manila, Pasig City","Telecommunications Services, Cable Supplier"
182,CitiBank,1902,"5,001 - 10,000",8.19,Paul Favila,Metropolitan Manila,"Metropolitan Manila, Taguig City",Banking and Financial Services
183,Australia New Zealand Global Services Operations,1991,>250,8.19,Shayne Elliott,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
184,Ace Promotion And Marketing,1977,"1,001 - 5,000",8.19,Danilo Calso,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Professional Services
185,DXC Technology,2017,>250,8.18,Mike Salvino,Metropolitan Manila,"Metropolitaan Manila, Taguig City","IT, Internet, Software & Services"
186,Leslie Corporation,1960,>250,8.18,Bobby Wong,Metropolitan Manila,"Metropolitan Manila, Taguig City","Food, Soft Beverages, Alcohol & Tobacco"
187,Philippine Statistics Authority (PSA),2013,"1,001 - 5,000",8.18,"Usec. Dennis Mapa, Ph. D.",Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
188,Cebu Mitsumi,1951,>250,8.18,Yoshihisa Kainuma,Central Luzon,"Bataan, Mariveles","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
189,Cavite State University,1906,"1,001 - 5,000",8.18,Marita R. Canapi,Calabarzon,"Cavite, Indang",Education
190,JT International,1999,>250,8.18,Eddy Pirard,Metropolitan Manila,"Metropolitan Manila, Taguig City","Food, Soft Beverages, Alcohol & Tobacco"
191,Dito Telecommunity,1988,>250,8.18,Dennis Uy,Metropolitan Manila,"Metropolitan Manila, Taguig City","Telecommunications Services, Cable Supplier"
192,GCash (Mynt - Globe Fintech Innovations),2015,>250,8.17,Martha Sazon,Metropolitan Manila,"Metropolitan Manila, Taguig City",Banking and Financial Services
193,PayPal,1998,"1,001 - 5,000",8.17,Alex Chriss(Global),California,"San José, CA, USA",Banking and Financial Services
194,Arcadis Consulting Middle East,1982,"1,001 - 5,000",8.16,Alan Brookes,Metropolitan Manila,"Metropolitan Manila, Makati City",Professional Services
195,SM Prime Holdings,1994,"5,001 - 10,000",8.16,Jeffrey C. Lim,Metropolitan Manila,"Metropolitan Manila, Pasay City",Real Estate
196,Cloudstaff,2010,>250,8.16,Lloyd Ernst,New South Wales,"Sydney, Australia",Business Services & Supplies
197,Transcom,1995,>250,8.16,Jonas Dahlberg,Metropolitan Manila,"Metropolitan Manila, Pasig City",Business Services & Supplies
198,Asiapro Multi-Purpose Cooperative,1999,>250,8.16,Gabriel Quemado,Metropolitan Manila,"Metropolitan Manila, Pasig City",Business Services & Supplies
199,Deltek Systems,1983,"1,001 - 5,000",8.15,Mike Corkey,Metropolitan Manila,"Metropolitan Manila, Makati City","IT, Internet, Software & Services"
200,Agribusiness Rural Bank,1978,>250,8.15,"ATTY. LUIS A. VERA CRUZ, JR.",Metropolitan Manila,"Metropolitan Manila, Pasig City",Banking and Financial Services
201,The Goodyear Tire & Rubber Company,1919,"501 - 1,000",8.15,Richard J. Kramer,Metropolitan Manila,"Metropolitan Manila, Taguig City",Automotive (Automotive and Suppliers)
202,Autoliv Cebu Safety Manufacturing,1953,"501 - 1,000",8.14,Mikael Bratt,Central Visayas,"Cebu, Lapu-Lapu City",Automotive (Automotive and Suppliers)
203,Rcg Information Technology,1997,"501 - 1,000",8.14,Ramesh Ramani,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
204,Collabera Digital,2010,"1,001 - 5,000",8.13,Mehul Shah,Metropolitan Manila,"Metropolitan Manila, Makati City","IT, Internet, Software & Services"
205,Teletech Customer Care Management,2001,"1,001 - 5,000",8.13,Kenneth Tuchman,Metropolitan Manila,"Metropolitan Manila, Pasay City",Business Services & Supplies
206,TI Philippines,1979,"1,001 - 5,000",8.13,Mohammad Yunus,Central Luzon,"Pampanga, Mabalacat","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
